"Use <em>$1</em> as placeholder to insert value and currency in string.","Use <em>$1</em> as placeholder to insert value and currency in string."
"Use . as decimal separator.", "Use . as decimal separator."
"Notify Customer", "Notify Customer"
"Create Shipping Labels","Create Shipping Labels"
"Failed ","Failed"
"Pending","Pending"
"Processed","Processed"
"Not Available","Not Available"
"Status_Failed", "Failed"
"Your input is invalid.", "Your input is invalid."
"Additional charge for combined preferred day and time","Additional charge for combined preferred day and time"
"Combined Preferred day and time handling fee text","Combined Preferred day and time handling fee text"
"Insert gross value as surcharge for the combination of preferred day and time. Insert 0 to offer service for free.", "Insert gross value as surcharge for the combination of preferred day and time. Insert 0 to offer service for free."
"Cut-off time is the latest possible order time up to which the minimum preferred day (day of order + 2 working days) can be guaranteed. As soon as the time is exceeded, the earliest preferred day displayed in the frontend will be shifted to one day later (day of order + 3 working days).","Cut-off time is the latest possible order time up to which the minimum preferred day (day of order + 2 working days) can be guaranteed. As soon as the time is exceeded, the earliest preferred day displayed in the frontend will be shifted to one day later (day of order + 3 working days)."
"* You cannot choose a <strong>preferred neighbor</strong> in combination with a <strong>preferred location</strong>.","* You cannot choose a <strong>preferred neighbor</strong> in combination with a <strong>preferred location</strong>."
"Participation = the last two characters of the accounting number for the referring product","Participation = the last two characters of the accounting number for the referring product"
"On the working days checked, there is no transfer of parcels to DHL (in addition to sundays and public holidays). This information influences the first displayed preferred day in the frontend.", "On the working days checked, there is no transfer of parcels to DHL (in addition to sundays and public holidays). This information influences the first displayed preferred day in the frontend."
"none day","none"
"none time","none"
"DHL Preferred Services Tracking","DHL Preferred Services Tracking"
"<strong>In case you like to offer Preferred Delivery options in your shop frontend, please note:</strong><br> When enabled, this plugin displays a tracking pixel to collect statistical data about Preferred Delivery options usage once every 30 days. It reports your checkout URL and the number of plugin calls. No personal data is created or collected.","<strong>In case you like to offer Preferred Delivery options in your shop frontend, please note:</strong><br> When enabled, this plugin displays a tracking pixel to collect statistical data about Preferred Delivery options usage once every 30 days. It reports your checkout URL and the number of plugin calls. No personal data is created or collected."
"(The cost of %s for %s is already included in the delivery costs.)","(The cost of %s for %s are already included in the delivery costs.)"
"your preferred delivery option","your preferred delivery option"
"your preferred delivery options","your preferred delivery options"
"Enable Checkout Tracking","Enable Checkout Tracking"
"Automatic Parcel Announcement","Automatic Parcel Announcement"
"If you want to enable DHL's Automatic parcel Announcement, please select <em>Enable</em> or <em>Enable on customer choice</em>. Last option gives the customer the choice to request the parcel announcement service by checkbox in the checkout.","If you want to enable DHL's Automatic parcel Announcement, please select <em>Enable</em> or <em>Enable on customer choice</em>. Last option gives the customer the choice to request the parcel announcement service by checkbox in the checkout."
"When service is applied, the buyer's email address will be transmitted to DHL.","When service is applied, the buyer's email address will be transmitted to DHL."
"Enable on customers choice","Enable on customers choice"
"General Shipping Settings","General Shipping Settings"
"Cash on Delivery Settings","Cash on Delivery Settings"
"Preferred day: Delivery on your preferred day","Preferred day: Delivery on your preferred day"
"Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery processes","Choose one of the displayed days as your preferred day for your parcel delivery. Other days are not possible due to delivery" processes"
"Preferred Time: Delivery during your preferred time slot","Preferred Time: Delivery during your preferred time slot"
"Indicate a preferred time for your parcel delivery by choosing one of the displayed time windows.","Indicate a preferred time for your parcel delivery by choosing one of the displayed time windows."
"Preferred location: Delivery to your preferred drop-off location","Preferred location: Delivery to your preferred drop-off location"
"Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence.","Choose a weather-protected and non-visible place on your property where we can deposit the parcel in your absence."
"Parcel Announcement","Parcel Announcement"
"Preferred neighbour: Delivery to a neighbour of your choice","Preferred neighbour: Delivery to a neighbour of your choice"
"Determine a person in your immediate neighborhood to whom we can hand out your parcel in your absence. This person should live in the same building, directly opposite, or next door.","Determine a person in your immediate neighborhood to whom we can hand out your parcel in your absence. This person should live in the same building, directly opposite, or next door."
"Street, number, postal code, city","Street, number, postal code, city"
"API Connection","API Connection"
"Select an API connection to configure. This setting does <strong>not</strong> select an API for use. The API used depends on your shipping origin country.","Select an API connection to configure. This setting does <strong>not</strong> select an API for use. The API used depends on your shipping origin country."
"If you are shipping from Germany or Austria, configure Business Customer Shipping. If you are shipping from other countries, configure eCommerce Global API.",""If you are shipping from Germany or Austria, configure Business Customer Shipping. If you are shipping from other countries, configure eCommerce Global API."
"Please note that you need to mention the data transmission in your privacy policy for GDPR compliance.","Please note that you need to mention the data transmission in your privacy policy for GDPR compliance."
"Configure the use of Cash on Delivery payments.","Configure the use of Cash on Delivery payments."
"Selected payment methods will be treated as CoD methods during shipment order creation.","Selected payment methods will be treated as CoD methods during shipment order creation."
"Default shipping label creation settings","Default shipping label creation settings"
"Used for prefilling fields in manual label creation and for bulk actions.","Used for prefilling fields in manual label creation and for bulk actions."
"Default Products","Default Products"
"Default Terms of Trade","Default Terms of Trade"
"Default Additional Fee","Default Additional Fee"
